Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	34.6904935721	35.0	35.0	35.0	35.0	35.0	BC5_run3
2	34.7056547506	35.0	35.0	35.0	34.0	35.0	BC5_run3
3	34.7137796827	35.0	35.0	35.0	34.0	35.0	BC5_run3
4	34.713901502	35.0	35.0	35.0	34.0	35.0	BC5_run3
5	34.6757697012	35.0	35.0	35.0	34.0	35.0	BC5_run3
6	39.2565345548	40.0	39.0	40.0	38.0	40.0	BC5_run3
7	39.350885363	40.0	39.0	40.0	39.0	40.0	BC5_run3
8	39.4465797315	40.0	39.0	40.0	39.0	40.0	BC5_run3
9	39.471764981	40.0	40.0	40.0	39.0	40.0	BC5_run3
10	39.499775137	40.0	40.0	40.0	39.0	40.0	BC5_run3
11	39.5084071567	40.0	40.0	40.0	39.0	40.0	BC5_run3
12	39.4979667711	40.0	40.0	40.0	39.0	40.0	BC5_run3
13	39.4889598319	40.0	40.0	40.0	39.0	40.0	BC5_run3
14	39.4820548666	40.0	40.0	40.0	39.0	40.0	BC5_run3
15	39.4697709295	40.0	40.0	40.0	39.0	40.0	BC5_run3
16	39.4610096985	40.0	40.0	40.0	39.0	40.0	BC5_run3
17	39.4549574682	40.0	40.0	40.0	39.0	40.0	BC5_run3
18	39.4582001674	40.0	40.0	40.0	39.0	40.0	BC5_run3
19	39.4489466328	40.0	40.0	40.0	39.0	40.0	BC5_run3
20	39.4478928369	40.0	40.0	40.0	39.0	40.0	BC5_run3
21	39.4253985516	40.0	40.0	40.0	39.0	40.0	BC5_run3
22	39.3893027886	40.0	40.0	40.0	39.0	40.0	BC5_run3
23	39.3749189473	40.0	40.0	40.0	39.0	40.0	BC5_run3
24	39.3912622459	40.0	40.0	40.0	39.0	40.0	BC5_run3
25	39.3962293384	40.0	40.0	40.0	39.0	40.0	BC5_run3
26	39.3999346358	40.0	40.0	40.0	39.0	40.0	BC5_run3
27	39.3934475076	40.0	40.0	40.0	39.0	40.0	BC5_run3
28	39.3934440309	40.0	40.0	40.0	39.0	40.0	BC5_run3
29	39.3849632147	40.0	40.0	40.0	39.0	40.0	BC5_run3
30	39.3915617861	40.0	40.0	40.0	39.0	40.0	BC5_run3
31	39.4038984443	40.0	40.0	40.0	39.0	40.0	BC5_run3
32	39.3861969806	40.0	40.0	40.0	39.0	40.0	BC5_run3
33	39.3802017124	40.0	40.0	40.0	39.0	40.0	BC5_run3
34	39.3795437589	40.0	40.0	40.0	39.0	40.0	BC5_run3
35	39.3743053963	40.0	40.0	40.0	39.0	40.0	BC5_run3
36	39.3520324112	40.0	40.0	40.0	39.0	40.0	BC5_run3
37	39.3611165233	40.0	40.0	40.0	39.0	40.0	BC5_run3
38	39.3883494349	40.0	40.0	40.0	39.0	40.0	BC5_run3
39	39.3875893927	40.0	40.0	40.0	39.0	40.0	BC5_run3
40	39.374633869	40.0	40.0	40.0	39.0	40.0	BC5_run3
41	39.3740206823	40.0	40.0	40.0	39.0	40.0	BC5_run3
42	39.3679757215	40.0	40.0	40.0	39.0	40.0	BC5_run3
43	39.3699530867	40.0	40.0	40.0	39.0	40.0	BC5_run3
44	39.373316278	40.0	40.0	40.0	39.0	40.0	BC5_run3
45	39.3637952236	40.0	40.0	40.0	39.0	40.0	BC5_run3
46	39.3433841631	40.0	40.0	40.0	39.0	40.0	BC5_run3
47	39.3474626578	40.0	40.0	40.0	39.0	40.0	BC5_run3
48	39.3492540311	40.0	40.0	40.0	39.0	40.0	BC5_run3
49	39.3521048665	40.0	40.0	40.0	39.0	40.0	BC5_run3
50	39.3417421187	40.0	40.0	40.0	39.0	40.0	BC5_run3
51	39.3459031563	40.0	40.0	40.0	39.0	40.0	BC5_run3
52	39.3508805584	40.0	40.0	40.0	39.0	40.0	BC5_run3
53	39.356119908	40.0	40.0	40.0	39.0	40.0	BC5_run3
54	39.362579953	40.0	40.0	40.0	39.0	40.0	BC5_run3
55	39.3573240802	40.0	40.0	40.0	39.0	40.0	BC5_run3
56	39.3617459055	40.0	40.0	40.0	39.0	40.0	BC5_run3
57	39.3676121506	40.0	40.0	40.0	39.0	40.0	BC5_run3
58	39.353278851	40.0	39.0	40.0	39.0	40.0	BC5_run3
59	39.3583505997	40.0	39.0	40.0	39.0	40.0	BC5_run3
60	39.3470996799	40.0	39.0	40.0	39.0	40.0	BC5_run3
61	39.3448508706	40.0	39.0	40.0	39.0	40.0	BC5_run3
62	39.3431772053	40.0	39.0	40.0	39.0	40.0	BC5_run3
63	39.3403499092	40.0	39.0	40.0	39.0	40.0	BC5_run3
64	39.337815791	40.0	39.0	40.0	39.0	40.0	BC5_run3
65	39.3351916199	40.0	39.0	40.0	39.0	40.0	BC5_run3
66	39.3219840616	40.0	39.0	40.0	39.0	40.0	BC5_run3
67	39.3175678392	40.0	39.0	40.0	39.0	40.0	BC5_run3
68	39.3252471444	40.0	39.0	40.0	39.0	40.0	BC5_run3
69	39.3214879815	40.0	39.0	40.0	39.0	40.0	BC5_run3
70	39.317647287	40.0	39.0	40.0	39.0	40.0	BC5_run3
71	39.3217002156	40.0	39.0	40.0	39.0	40.0	BC5_run3
72	39.3162816746	40.0	39.0	40.0	39.0	40.0	BC5_run3
73	39.3136068548	40.0	39.0	40.0	39.0	40.0	BC5_run3
74	39.3201486823	40.0	39.0	40.0	39.0	40.0	BC5_run3
75	39.3204648054	40.0	39.0	40.0	39.0	40.0	BC5_run3
1	34.6934479211	35.0	35.0	35.0	34.0	35.0	BC12_run3
2	34.706220036	35.0	35.0	35.0	34.0	35.0	BC12_run3
3	34.7029504538	35.0	35.0	35.0	34.0	35.0	BC12_run3
4	34.7052678111	35.0	35.0	35.0	34.0	35.0	BC12_run3
5	34.6725341606	35.0	35.0	35.0	34.0	35.0	BC12_run3
6	39.253846516	40.0	39.0	40.0	38.0	40.0	BC12_run3
7	39.3117865801	40.0	39.0	40.0	39.0	40.0	BC12_run3
8	39.3934370819	40.0	39.0	40.0	39.0	40.0	BC12_run3
9	39.4165300921	40.0	39.0	40.0	39.0	40.0	BC12_run3
10	39.4365996421	40.0	40.0	40.0	39.0	40.0	BC12_run3
11	39.4431910684	40.0	40.0	40.0	39.0	40.0	BC12_run3
12	39.4478422918	40.0	40.0	40.0	39.0	40.0	BC12_run3
13	39.4371109417	40.0	40.0	40.0	39.0	40.0	BC12_run3
14	39.4321226568	40.0	40.0	40.0	39.0	40.0	BC12_run3
15	39.4287253441	40.0	40.0	40.0	39.0	40.0	BC12_run3
16	39.4256742434	40.0	40.0	40.0	39.0	40.0	BC12_run3
17	39.4247217355	40.0	40.0	40.0	39.0	40.0	BC12_run3
18	39.4257149965	40.0	40.0	40.0	39.0	40.0	BC12_run3
19	39.4338168323	40.0	40.0	40.0	39.0	40.0	BC12_run3
20	39.4224660738	40.0	40.0	40.0	39.0	40.0	BC12_run3
21	39.4206893546	40.0	40.0	40.0	39.0	40.0	BC12_run3
22	39.4118810385	40.0	40.0	40.0	39.0	40.0	BC12_run3
23	39.4092761459	40.0	40.0	40.0	39.0	40.0	BC12_run3
24	39.4152183537	40.0	40.0	40.0	39.0	40.0	BC12_run3
25	39.4211684858	40.0	40.0	40.0	39.0	40.0	BC12_run3
26	39.4152644111	40.0	40.0	40.0	39.0	40.0	BC12_run3
27	39.4099032567	40.0	40.0	40.0	39.0	40.0	BC12_run3
28	39.4063428343	40.0	40.0	40.0	39.0	40.0	BC12_run3
29	39.4037231441	40.0	40.0	40.0	39.0	40.0	BC12_run3
30	39.3916175937	40.0	40.0	40.0	39.0	40.0	BC12_run3
