GC_Content	Count	sample
0	1.0	BC5_run3
1	1.0	BC5_run3
2	0.5	BC5_run3
3	0.0	BC5_run3
4	0.0	BC5_run3
5	5.5	BC5_run3
6	11.0	BC5_run3
7	15.0	BC5_run3
8	18.5	BC5_run3
9	11.0	BC5_run3
10	9.5	BC5_run3
11	44.0	BC5_run3
12	91.5	BC5_run3
13	174.5	BC5_run3
14	289.0	BC5_run3
15	453.0	BC5_run3
16	535.0	BC5_run3
17	720.0	BC5_run3
18	1460.5	BC5_run3
19	3249.0	BC5_run3
20	4663.5	BC5_run3
21	5686.5	BC5_run3
22	8624.5	BC5_run3
23	12471.5	BC5_run3
24	14752.0	BC5_run3
25	17344.5	BC5_run3
26	23118.5	BC5_run3
27	28448.0	BC5_run3
28	30705.5	BC5_run3
29	36264.5	BC5_run3
30	44001.5	BC5_run3
31	50455.5	BC5_run3
32	54258.5	BC5_run3
33	61442.0	BC5_run3
34	72554.5	BC5_run3
35	82618.0	BC5_run3
36	88762.0	BC5_run3
37	91892.0	BC5_run3
38	97184.5	BC5_run3
39	101296.0	BC5_run3
40	102866.5	BC5_run3
41	108344.5	BC5_run3
42	116569.0	BC5_run3
43	122221.5	BC5_run3
44	126577.0	BC5_run3
45	130132.5	BC5_run3
46	135031.0	BC5_run3
47	138812.0	BC5_run3
48	141251.5	BC5_run3
49	142014.0	BC5_run3
50	146246.0	BC5_run3
51	163480.5	BC5_run3
52	178397.0	BC5_run3
53	170660.0	BC5_run3
54	176593.0	BC5_run3
55	179046.5	BC5_run3
56	168971.5	BC5_run3
57	168415.0	BC5_run3
58	167269.5	BC5_run3
59	174767.5	BC5_run3
60	168644.5	BC5_run3
61	142093.0	BC5_run3
62	112458.5	BC5_run3
63	83955.0	BC5_run3
64	68271.5	BC5_run3
65	59100.5	BC5_run3
66	45322.5	BC5_run3
67	44282.5	BC5_run3
68	48651.5	BC5_run3
69	38258.5	BC5_run3
70	23187.0	BC5_run3
71	14900.5	BC5_run3
72	11278.0	BC5_run3
