Quality	Count	sample
15	1.0	BC5_run3
16	41.0	BC5_run3
17	86.0	BC5_run3
18	161.0	BC5_run3
19	382.0	BC5_run3
20	745.0	BC5_run3
21	1131.0	BC5_run3
22	1333.0	BC5_run3
23	1614.0	BC5_run3
24	2414.0	BC5_run3
25	3539.0	BC5_run3
26	4681.0	BC5_run3
27	5266.0	BC5_run3
28	5896.0	BC5_run3
29	7008.0	BC5_run3
30	8085.0	BC5_run3
31	9315.0	BC5_run3
32	11276.0	BC5_run3
33	13763.0	BC5_run3
34	17996.0	BC5_run3
35	25356.0	BC5_run3
36	40763.0	BC5_run3
37	82153.0	BC5_run3
38	385143.0	BC5_run3
39	2753911.0	BC5_run3
15	4.0	BC12_run3
16	73.0	BC12_run3
17	138.0	BC12_run3
18	246.0	BC12_run3
19	669.0	BC12_run3
20	1527.0	BC12_run3
21	2442.0	BC12_run3
22	3324.0	BC12_run3
23	4107.0	BC12_run3
24	5237.0	BC12_run3
25	6743.0	BC12_run3
26	8480.0	BC12_run3
27	10347.0	BC12_run3
28	13345.0	BC12_run3
29	16879.0	BC12_run3
30	20892.0	BC12_run3
31	26227.0	BC12_run3
32	33525.0	BC12_run3
33	44133.0	BC12_run3
34	60018.0	BC12_run3
35	88457.0	BC12_run3
36	146978.0	BC12_run3
37	319897.0	BC12_run3
38	1456646.0	BC12_run3
39	8330103.0	BC12_run3
8	1.0	BC5_run1
9	0.0	BC5_run1
10	0.0	BC5_run1
11	0.0	BC5_run1
12	1.0	BC5_run1
13	1.0	BC5_run1
14	1.0	BC5_run1
15	2.0	BC5_run1
16	59.0	BC5_run1
17	98.0	BC5_run1
18	249.0	BC5_run1
19	401.0	BC5_run1
20	799.0	BC5_run1
21	1138.0	BC5_run1
22	1361.0	BC5_run1
23	1938.0	BC5_run1
24	3187.0	BC5_run1
25	5498.0	BC5_run1
26	6936.0	BC5_run1
27	7422.0	BC5_run1
28	7622.0	BC5_run1
29	8272.0	BC5_run1
30	8847.0	BC5_run1
31	9277.0	BC5_run1
32	10394.0	BC5_run1
33	11893.0	BC5_run1
34	14520.0	BC5_run1
35	18877.0	BC5_run1
36	26846.0	BC5_run1
37	48967.0	BC5_run1
