Length	Count	sample
24	13241.0	BC5_run3
26	15416.0	BC5_run3
28	16511.0	BC5_run3
30	13082.0	BC5_run3
32	13279.0	BC5_run3
34	10189.0	BC5_run3
36	10183.0	BC5_run3
38	11960.0	BC5_run3
40	5175.0	BC5_run3
42	4446.0	BC5_run3
44	5596.0	BC5_run3
46	6612.0	BC5_run3
48	5959.0	BC5_run3
50	7979.0	BC5_run3
52	11938.0	BC5_run3
54	8715.0	BC5_run3
56	7405.0	BC5_run3
58	10037.0	BC5_run3
60	4782.0	BC5_run3
62	4878.0	BC5_run3
64	7658.0	BC5_run3
66	9625.0	BC5_run3
68	31901.0	BC5_run3
70	76035.0	BC5_run3
72	202942.0	BC5_run3
74	2866515.0	BC5_run3
24	3225.0	BC12_run3
26	5764.0	BC12_run3
28	4822.0	BC12_run3
30	6493.0	BC12_run3
32	6988.0	BC12_run3
34	6057.0	BC12_run3
36	6110.0	BC12_run3
38	6976.0	BC12_run3
40	4949.0	BC12_run3
42	5089.0	BC12_run3
44	6318.0	BC12_run3
46	7381.0	BC12_run3
48	6539.0	BC12_run3
50	6888.0	BC12_run3
52	8126.0	BC12_run3
54	9947.0	BC12_run3
56	9464.0	BC12_run3
58	10607.0	BC12_run3
60	10652.0	BC12_run3
62	12214.0	BC12_run3
64	26851.0	BC12_run3
66	28395.0	BC12_run3
68	129681.0	BC12_run3
70	244205.0	BC12_run3
72	702983.0	BC12_run3
74	9323713.0	BC12_run3
24	20710.0	BC5_run1
26	24842.0	BC5_run1
28	26107.0	BC5_run1
30	20184.0	BC5_run1
32	20313.0	BC5_run1
34	15795.0	BC5_run1
36	15722.0	BC5_run1
38	18281.0	BC5_run1
40	7632.0	BC5_run1
42	6694.0	BC5_run1
44	8174.0	BC5_run1
46	9738.0	BC5_run1
48	9368.0	BC5_run1
50	11541.0	BC5_run1
52	19972.0	BC5_run1
54	14070.0	BC5_run1
56	11485.0	BC5_run1
58	15476.0	BC5_run1
60	7199.0	BC5_run1
62	7891.0	BC5_run1
64	11384.0	BC5_run1
66	14167.0	BC5_run1
68	45841.0	BC5_run1
70	107857.0	BC5_run1
72	288069.0	BC5_run1
74	4075307.0	BC5_run1
24	2604.0	BC6_run3
26	3807.0	BC6_run3
28	3389.0	BC6_run3
30	2324.0	BC6_run3
32	1725.0	BC6_run3
34	2159.0	BC6_run3
36	2310.0	BC6_run3
38	2790.0	BC6_run3
40	2401.0	BC6_run3
42	2586.0	BC6_run3
44	4316.0	BC6_run3
46	4433.0	BC6_run3
48	2837.0	BC6_run3
50	3735.0	BC6_run3
52	24563.0	BC6_run3
54	3228.0	BC6_run3
56	3861.0	BC6_run3
58	23490.0	BC6_run3
60	2518.0	BC6_run3
62	2911.0	BC6_run3
64	2144.0	BC6_run3
66	3838.0	BC6_run3
68	8127.0	BC6_run3
70	9920.0	BC6_run3
72	27787.0	BC6_run3
74	330831.0	BC6_run3
24	1398.0	BC16_run3
26	3276.0	BC16_run3
28	3403.0	BC16_run3
30	4436.0	BC16_run3
32	5541.0	BC16_run3
34	7046.0	BC16_run3
36	10040.0	BC16_run3
38	15566.0	BC16_run3
40	18818.0	BC16_run3
42	24002.0	BC16_run3
44	33326.0	BC16_run3
46	42442.0	BC16_run3
48	48912.0	BC16_run3
50	60973.0	BC16_run3
52	72575.0	BC16_run3
54	81138.0	BC16_run3
56	96691.0	BC16_run3
58	100526.0	BC16_run3
60	109612.0	BC16_run3
62	127212.0	BC16_run3
64	144912.0	BC16_run3
66	158112.0	BC16_run3
68	246491.0	BC16_run3
70	357818.0	BC16_run3
72	728643.0	BC16_run3
74	7751231.0	BC16_run3
24	1287.0	BC8_run2
26	2268.0	BC8_run2
28	1967.0	BC8_run2
30	2581.0	BC8_run2
32	2753.0	BC8_run2
34	2356.0	BC8_run2
36	2649.0	BC8_run2
38	2552.0	BC8_run2
40	1601.0	BC8_run2
42	1854.0	BC8_run2
44	2015.0	BC8_run2
46	2166.0	BC8_run2
48	1906.0	BC8_run2
50	2006.0	BC8_run2
52	2177.0	BC8_run2
54	2650.0	BC8_run2
56	2397.0	BC8_run2
58	2683.0	BC8_run2
60	2854.0	BC8_run2
62	3233.0	BC8_run2
64	9703.0	BC8_run2
66	10257.0	BC8_run2
68	64906.0	BC8_run2
70	107518.0	BC8_run2
72	313668.0	BC8_run2
74	4172220.0	BC8_run2
24	18181.0	BC6_run1
26	26287.0	BC6_run1
28	22948.0	BC6_run1
30	15543.0	BC6_run1
32	12225.0	BC6_run1
34	14150.0	BC6_run1
36	16408.0	BC6_run1
38	18115.0	BC6_run1
40	15487.0	BC6_run1
42	16751.0	BC6_run1
44	28231.0	BC6_run1
46	30060.0	BC6_run1
48	20716.0	BC6_run1
50	23099.0	BC6_run1
52	180177.0	BC6_run1
54	22809.0	BC6_run1
56	26380.0	BC6_run1
58	168551.0	BC6_run1
60	15736.0	BC6_run1
62	21232.0	BC6_run1
64	14156.0	BC6_run1
66	25542.0	BC6_run1
68	50060.0	BC6_run1
70	63295.0	BC6_run1
72	183339.0	BC6_run1
74	2169390.0	BC6_run1
24	7655.0	BC7_run2
