baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
ENSMUSG00000019230	180.535651132595	9.87877956306641	1.45118376729733	6.80739392603913	9.93825352504153e-12	1.22170950583335e-07	Lhx9
ENSMUSG00000061808	160.983446194586	9.70765731862563	1.46172672442405	6.64122585735074	3.1108491661917e-11	1.91208343999973e-07	Ttr
ENSMUSG00000029306	187.626228207222	9.01120473667775	1.4392432022875	6.26107159815349	3.82340917252781e-10	1.56670563192948e-06	Ibsp
ENSMUSG00000025927	125.028215871151	9.08566871855737	1.51257130393694	6.0067705204436	1.89255082999569e-09	4.64162529216409e-06	Tfap2b
ENSMUSG00000030787	157.285465789043	8.72615939298687	1.45461235163482	5.99895868007698	1.9858687761553e-09	4.64162529216409e-06	Lyve1
ENSMUSG00000042258	115.240346512393	7.02946346722929	1.17598178396329	5.97752751198122	2.26549676669523e-09	4.64162529216409e-06	Isl1
ENSMUSG00000097248	114.305023779479	8.14557807172847	1.49845835914623	5.43597225909537	5.44984341118953e-08	9.57070357910756e-05	Gm2694
ENSMUSG00000024985	344.755033932734	5.15965522700796	0.956309747932557	5.39538077297927	6.83783857564081e-08	0.000104884190704178	Tcf7l2
ENSMUSG00000048583	727.149829995216	5.32544724650904	0.990869919482531	5.37451701964087	7.67882304024731e-08	0.000104884190704178	Igf2
ENSMUSG00000029754	159.692735611226	5.72505175629865	1.07945064164374	5.30367164132748	1.13496387303788e-07	0.000139521108912546	Dlx6
ENSMUSG00000026787	666.372287685921	4.66593239674986	0.89562226604236	5.20971013524264	1.89135886287815e-07	0.000211367950012374	Gad2
ENSMUSG00000090223	181.477473130874	4.99653421822842	0.965674216582041	5.17414064953853	2.28962307271701e-07	0.000234552803607585	Pcp4
ENSMUSG00000000031	828.44665759214	5.77014766431126	1.13015285717621	5.10563471805797	3.29686009923026e-07	0.000311756163075674	H19
ENSMUSG00000074141	114.081490733345	7.91304230857717	1.56721815700498	5.04910070956513	4.43894694589745e-07	0.000389771248613695	Il4i1
ENSMUSG00000027555	68.1661639527936	7.66432734413736	1.54101442164864	4.9735597775508	6.57344912506557e-07	0.000505046313090194	Car13
ENSMUSG00000056158	191.069364647027	5.04199101316796	1.01318745693112	4.97636540866766	6.47892886560969e-07	0.000505046313090194	Car10
ENSMUSG00000010175	539.01674137348	4.42510717779265	0.905891917013083	4.88480700035735	1.03530214106662e-06	0.000707053845562888	Prox1
ENSMUSG00000097330	53.3483210772777	-7.73652246508485	1.58341402183278	-4.88597571981203	1.02917881880529e-06	0.000707053845562888	Gm26672
ENSMUSG00000090066	53.5028823407808	-7.68614592867243	1.58283654006131	-4.85593157229913	1.19822077316311e-06	0.000775248840236529	1110002E22Rik
ENSMUSG00000015090	78.9186667998715	6.95444239587597	1.43760817264191	4.83750894591516	1.31476469320551e-06	0.000808120118678767	Ptgds
ENSMUSG00000006676	149.307756080468	-5.93062150543981	1.23185888510609	-4.81436760098462	1.47666766770797e-06	0.000864413125673052	Usp19
ENSMUSG00000034022	103.972710512591	-6.0257694247234	1.26083662839519	-4.7791833525594	1.76008631414571e-06	0.000983488229990603	Cpsf1
ENSMUSG00000029843	66.3844776200491	6.48489296149723	1.36326520330923	4.7568829203266	1.96605117523629e-06	0.00105081161292086	Slc13a4
ENSMUSG00000038112	228.742887466379	4.30543855264723	0.919179128253115	4.68400382505382	2.81324753867998e-06	0.00144096883304138	AW551984
ENSMUSG00000001496	91.8546934151134	6.51052124440836	1.39528783326017	4.66607755705583	3.07003861735485e-06	0.00150959938892573	Nkx2-1
ENSMUSG00000033740	63.4850724165429	5.96911928402854	1.28435000576719	4.64757990985718	3.35852004798727e-06	0.00158793411345798	St18
ENSMUSG00000099021	59.2545963484983	7.46916292157551	1.61145426000128	4.63504494478768	3.56859935384151e-06	0.0016247700687694	Rn7s1
ENSMUSG00000035431	185.093206786993	-5.73800851824445	1.24349741303843	-4.61441130321607	3.9421107682388e-06	0.00173072741692713	Sstr1
ENSMUSG00000075015	297.828632043015	6.53314430959937	1.42297560765919	4.59118503116612	4.40736381611985e-06	0.00186826632384694	Gm10801
ENSMUSG00000072720	41.3765582054814	-7.35454687186802	1.6140676684797	-4.55652945380865	5.20057494697678e-06	0.00207845886816084	Myo18b
ENSMUSG00000078700	41.045953157597	-7.35768405666885	1.61533844683165	-4.5548869780821	5.24137516578426e-06	0.00207845886816084	D030028A08Rik
ENSMUSG00000030551	377.388800325128	4.16432123270912	0.919322986584031	4.52976950808406	5.90480686393314e-06	0.00214049446084842	Nr2f2
ENSMUSG00000045871	84.3944738765477	6.03151599461128	1.33132853639079	4.53044896863895	5.8858471079278e-06	0.00214049446084842	Slitrk6
ENSMUSG00000046318	444.36322345164	-5.06642204380907	1.11860807039134	-4.52921999931273	5.92018316674907e-06	0.00214049446084842	Ccbe1
ENSMUSG00000036422	146.311301783237	-5.49113349856103	1.22349300562376	-4.48807919074415	7.18682156898386e-06	0.00245409993187552	Pcdh8
ENSMUSG00000075020	126.847999824176	4.95716910978227	1.10324138698119	4.493276963935	7.01354720022364e-06	0.00245409993187552	E530001K10Rik
ENSMUSG00000032368	148.804464275396	5.31533215157573	1.19328652185859	4.45436368735388	8.41423669485093e-06	0.00279557328891358	Zic1
ENSMUSG00000028639	27815.6682523561	3.64492791523581	0.825104403908064	4.41753540275848	9.98327225583422e-06	0.00314677861130693	Ybx1
ENSMUSG00000070880	658.012396146477	3.79738274533946	0.859352321617747	4.41888926091549	9.92094624016007e-06	0.00314677861130693	Gad1
ENSMUSG00000092183	81.1081728604584	5.68386756435898	1.30013269207443	4.37175958962318	1.23249196117259e-05	0.00378775591967365	4930515G01Rik
ENSMUSG00000019929	80.1199785536465	7.02487942305543	1.61305677389255	4.35501064609359	1.33060451157243e-05	0.00387870126693825	Dcn
ENSMUSG00000022490	607.391299492985	4.03409966471725	0.927913844194364	4.34749377860587	1.37701975458418e-05	0.00387870126693825	Ppp1r1a
ENSMUSG00000027404	101.427306297849	-5.60867088417785	1.29071571209037	-4.34539599358745	1.39024632681585e-05	0.00387870126693825	Snrpb
ENSMUSG00000038370	39.0635072147134	6.17503964814753	1.41871119660266	4.35256989790077	1.34550953548774e-05	0.00387870126693825	Pcp4l1
ENSMUSG00000076431	112.01540794089	-4.71338262461237	1.08584030121085	-4.34076965034024	1.41984509080144e-05	0.00387870126693825	Sox4
ENSMUSG00000058546	952.318989697286	4.17144753783586	0.962987032264332	4.33177955473323	1.47908993948502e-05	0.00395270709262811	Rpl23a
ENSMUSG00000015484	135.097551930914	4.45138300473557	1.03347681499738	4.30719193709911	1.65340132462957e-05	0.00432452393269602	Fam163a
ENSMUSG00000022325	50.8172777916381	-5.8795141248992	1.36944996885125	-4.29333985076589	1.7600528169904e-05	0.00450756859984647	Pop1
ENSMUSG00000031015	35.550941992223	-7.03129902231715	1.64125525473661	-4.28409840701198	1.83481694856012e-05	0.00460314382625501	Swap70
ENSMUSG00000038894	43.8131058374697	-6.04176376628884	1.41620175608639	-4.26617446301224	1.98853299886357e-05	0.00488900723100598	Irs2
ENSMUSG00000028370	52.2306946547605	6.94848339751948	1.63288807850916	4.25533353385954	2.08737617374141e-05	0.00503139515760847	Pappa
ENSMUSG00000024076	32.4955876468122	-6.9884138155841	1.64771105271763	-4.2412859973585	2.22242729606241e-05	0.00515477334915003	Vit
ENSMUSG00000038805	38.3284623679692	6.98511582480269	1.64653568988471	4.24231060870098	2.21230215245377e-05	0.00515477334915003	Six3
ENSMUSG00000068151	110.397444735887	4.89185592519696	1.15544219730887	4.23375218300885	2.29824195476054e-05	0.00523190524997618	A230006K03Rik
ENSMUSG00000031960	533.217265924542	-4.31215875428626	1.02112679815432	-4.2229415211514	2.41134401618228e-05	0.00538957308925977	Aars
